input_text,target_text
나 게임 하다 싶다,나 게임 할 거야
동생 밥 먹다 싶다,동생 밥 먹었어
너 학교 가다 싶다,너 학교 갔어
나 영화 보다 싶다,나 영화 볼 거야
나 과일 사다 싶다,나 과일 샀어
동생 옷 사다 싶다,동생 옷 사고 싶어
아빠 학교 가다 싶다,아빠 학교 갈 거야
너 과일 먹다 싶다,너 과일 먹었어
너 옷 사다 싶다,너 옷 살 거야
아빠 과일 먹다 싶다,아빠 과일 먹자
너 책 읽다 싶다,너 책 읽을 거야
우리 옷 사다 싶다,우리 옷 사고 싶어
나 게임 하다 싶다,나 게임 할 거야
친구 책 읽다 싶다,친구 책 읽자
너 과일 사다 싶다,너 과일 살 거야
선생님 과일 먹다 싶다,선생님 과일 먹자
너 영화 보다 싶다,너 영화 봤어
선생님 게임 하다 싶다,선생님 게임 했어
우리 운동 하다 싶다,우리 운동 하자
우리 옷 입다 싶다,우리 옷 입을 거야
친구 학교 가다 싶다,친구 학교 가자
동생 운동 하다 싶다,동생 운동 하고 싶어
엄마 영화 보다 싶다,엄마 영화 보자
너 영화 보다 싶다,너 영화 보자
우리 과일 사다 싶다,우리 과일 살 거야
너 게임 하다 싶다,너 게임 할 거야
우리 운동 하다 싶다,우리 운동 하고 싶어
우리 과일 먹다 싶다,우리 과일 먹을 거야
아빠 운동 하다 싶다,아빠 운동 하고 싶어
나 운동 하다 싶다,나 운동 하고 싶어
선생님 옷 입다 싶다,선생님 옷 입고 싶어
동생 게임 하다 싶다,동생 게임 했어
나 책 읽다 싶다,나 책 읽자
엄마 운동 하다 싶다,엄마 운동 했어
우리 운동 하다 싶다,우리 운동 했어
친구 밥 먹다 싶다,친구 밥 먹었어
친구 영화 보다 싶다,친구 영화 봤어
우리 영화 보다 싶다,우리 영화 봤어
나 과일 사다 싶다,나 과일 사자
동생 책 읽다 싶다,동생 책 읽을 거야
아빠 밥 먹다 싶다,아빠 밥 먹을 거야
엄마 책 읽다 싶다,엄마 책 읽을 거야
선생님 게임 하다 싶다,선생님 게임 할 거야
동생 과일 먹다 싶다,동생 과일 먹고 싶어
우리 영화 보다 싶다,우리 영화 봤어
친구 게임 하다 싶다,친구 게임 할 거야
우리 학교 가다 싶다,우리 학교 가고 싶어
엄마 영화 보다 싶다,엄마 영화 봤어
너 과일 먹다 싶다,너 과일 먹을 거야
엄마 옷 입다 싶다,엄마 옷 입자
선생님 밥 먹다 싶다,선생님 밥 먹었어
동생 옷 입다 싶다,동생 옷 입고 싶어
동생 밥 먹다 싶다,동생 밥 먹자
우리 밥 먹다 싶다,우리 밥 먹었어
친구 과일 먹다 싶다,친구 과일 먹을 거야
나 책 읽다 싶다,나 책 읽고 싶어
선생님 게임 하다 싶다,선생님 게임 할 거야
선생님 게임 하다 싶다,선생님 게임 하고 싶어
친구 영화 보다 싶다,친구 영화 보자
나 과일 사다 싶다,나 과일 사자
동생 밥 먹다 싶다,동생 밥 먹을 거야
아빠 옷 입다 싶다,아빠 옷 입자
우리 학교 가다 싶다,우리 학교 갈 거야
동생 옷 입다 싶다,동생 옷 입었어
동생 밥 먹다 싶다,동생 밥 먹었어
너 게임 하다 싶다,너 게임 했어
너 학교 가다 싶다,너 학교 갔어
아빠 게임 하다 싶다,아빠 게임 할 거야
친구 밥 먹다 싶다,친구 밥 먹고 싶어
친구 옷 입다 싶다,친구 옷 입을 거야
친구 밥 먹다 싶다,친구 밥 먹고 싶어
친구 게임 하다 싶다,친구 게임 했어
동생 책 읽다 싶다,동생 책 읽고 싶어
선생님 책 읽다 싶다,선생님 책 읽고 싶어
동생 운동 하다 싶다,동생 운동 할 거야
너 밥 먹다 싶다,너 밥 먹었어
너 과일 사다 싶다,너 과일 사고 싶어
우리 학교 가다 싶다,우리 학교 갔어
아빠 책 읽다 싶다,아빠 책 읽을 거야
동생 학교 가다 싶다,동생 학교 가고 싶어
엄마 밥 먹다 싶다,엄마 밥 먹을 거야
아빠 운동 하다 싶다,아빠 운동 했어
아빠 옷 입다 싶다,아빠 옷 입었어
선생님 운동 하다 싶다,선생님 운동 할 거야
엄마 운동 하다 싶다,엄마 운동 할 거야
나 운동 하다 싶다,나 운동 했어
너 밥 먹다 싶다,너 밥 먹을 거야
아빠 책 읽다 싶다,아빠 책 읽었어
친구 책 읽다 싶다,친구 책 읽었어
우리 과일 먹다 싶다,우리 과일 먹을 거야
선생님 밥 먹다 싶다,선생님 밥 먹었어
선생님 학교 가다 싶다,선생님 학교 가고 싶어
동생 학교 가다 싶다,동생 학교 갔어
우리 옷 입다 싶다,우리 옷 입자
나 영화 보다 싶다,나 영화 봤어
우리 밥 먹다 싶다,우리 밥 먹었어
나 책 읽다 싶다,나 책 읽었어
엄마 옷 입다 싶다,엄마 옷 입자
친구 영화 보다 싶다,친구 영화 봤어
나 옷 사다 싶다,나 옷 살 거야
엄마 학교 가다 싶다,엄마 학교 갔어
친구 운동 하다 싶다,친구 운동 하자
엄마 과일 사다 싶다,엄마 과일 사자
우리 영화 보다 싶다,우리 영화 보자
선생님 과일 사다 싶다,선생님 과일 사고 싶어
동생 책 읽다 싶다,동생 책 읽었어
우리 과일 먹다 싶다,우리 과일 먹을 거야
동생 옷 사다 싶다,동생 옷 사자
나 책 읽다 싶다,나 책 읽고 싶어
나 학교 가다 싶다,나 학교 가고 싶어
우리 학교 가다 싶다,우리 학교 갈 거야
친구 게임 하다 싶다,친구 게임 하고 싶어
선생님 밥 먹다 싶다,선생님 밥 먹었어
나 옷 입다 싶다,나 옷 입자
동생 운동 하다 싶다,동생 운동 했어
친구 책 읽다 싶다,친구 책 읽고 싶어
우리 운동 하다 싶다,우리 운동 할 거야
친구 게임 하다 싶다,친구 게임 할 거야
동생 밥 먹다 싶다,동생 밥 먹을 거야
아빠 옷 입다 싶다,아빠 옷 입었어
너 책 읽다 싶다,너 책 읽을 거야
친구 운동 하다 싶다,친구 운동 하고 싶어
동생 과일 사다 싶다,동생 과일 샀어
너 과일 사다 싶다,너 과일 사고 싶어
엄마 책 읽다 싶다,엄마 책 읽을 거야
나 책 읽다 싶다,나 책 읽고 싶어
아빠 밥 먹다 싶다,아빠 밥 먹었어
선생님 게임 하다 싶다,선생님 게임 했어
친구 밥 먹다 싶다,친구 밥 먹자
나 학교 가다 싶다,나 학교 가자
나 옷 입다 싶다,나 옷 입자
엄마 영화 보다 싶다,엄마 영화 보고 싶어
너 책 읽다 싶다,너 책 읽을 거야
너 영화 보다 싶다,너 영화 보고 싶어
아빠 학교 가다 싶다,아빠 학교 갈 거야
선생님 책 읽다 싶다,선생님 책 읽었어
나 게임 하다 싶다,나 게임 할 거야
너 영화 보다 싶다,너 영화 봤어
우리 밥 먹다 싶다,우리 밥 먹고 싶어
너 옷 사다 싶다,너 옷 살 거야
동생 학교 가다 싶다,동생 학교 갈 거야
엄마 학교 가다 싶다,엄마 학교 가고 싶어
너 밥 먹다 싶다,너 밥 먹자
동생 학교 가다 싶다,동생 학교 갔어
동생 과일 먹다 싶다,동생 과일 먹고 싶어
너 과일 사다 싶다,너 과일 살 거야
동생 밥 먹다 싶다,동생 밥 먹었어
아빠 밥 먹다 싶다,아빠 밥 먹었어
엄마 밥 먹다 싶다,엄마 밥 먹고 싶어
선생님 학교 가다 싶다,선생님 학교 갔어
우리 옷 입다 싶다,우리 옷 입자
선생님 책 읽다 싶다,선생님 책 읽을 거야
친구 운동 하다 싶다,친구 운동 했어
아빠 옷 사다 싶다,아빠 옷 사고 싶어
엄마 영화 보다 싶다,엄마 영화 볼 거야
엄마 학교 가다 싶다,엄마 학교 갈 거야
엄마 게임 하다 싶다,엄마 게임 하고 싶어
친구 책 읽다 싶다,친구 책 읽고 싶어
우리 영화 보다 싶다,우리 영화 보자
너 게임 하다 싶다,너 게임 할 거야
친구 학교 가다 싶다,친구 학교 가고 싶어
아빠 게임 하다 싶다,아빠 게임 하자
나 운동 하다 싶다,나 운동 했어
친구 과일 먹다 싶다,친구 과일 먹자
아빠 책 읽다 싶다,아빠 책 읽었어
동생 과일 먹다 싶다,동생 과일 먹고 싶어
아빠 학교 가다 싶다,아빠 학교 갔어
나 학교 가다 싶다,나 학교 갈 거야
아빠 옷 입다 싶다,아빠 옷 입고 싶어
우리 밥 먹다 싶다,우리 밥 먹자
너 운동 하다 싶다,너 운동 할 거야
동생 책 읽다 싶다,동생 책 읽고 싶어
아빠 학교 가다 싶다,아빠 학교 갔어
친구 영화 보다 싶다,친구 영화 볼 거야
친구 학교 가다 싶다,친구 학교 가고 싶어
친구 게임 하다 싶다,친구 게임 할 거야
동생 게임 하다 싶다,동생 게임 할 거야
너 과일 먹다 싶다,너 과일 먹을 거야
너 옷 입다 싶다,너 옷 입자
너 책 읽다 싶다,너 책 읽고 싶어
엄마 옷 사다 싶다,엄마 옷 샀어
너 밥 먹다 싶다,너 밥 먹었어
엄마 영화 보다 싶다,엄마 영화 봤어
동생 영화 보다 싶다,동생 영화 보자
동생 책 읽다 싶다,동생 책 읽을 거야
나 책 읽다 싶다,나 책 읽었어
너 밥 먹다 싶다,너 밥 먹자
너 운동 하다 싶다,너 운동 하자
너 게임 하다 싶다,너 게임 하자
동생 학교 가다 싶다,동생 학교 가고 싶어
아빠 책 읽다 싶다,아빠 책 읽을 거야
너 영화 보다 싶다,너 영화 보고 싶어
아빠 운동 하다 싶다,아빠 운동 하자
아빠 학교 가다 싶다,아빠 학교 가자
우리 책 읽다 싶다,우리 책 읽을 거야
선생님 옷 입다 싶다,선생님 옷 입자
우리 운동 하다 싶다,우리 운동 하고 싶어
선생님 운동 하다 싶다,선생님 운동 할 거야
동생 영화 보다 싶다,동생 영화 보자
친구 책 읽다 싶다,친구 책 읽고 싶어
선생님 책 읽다 싶다,선생님 책 읽을 거야
동생 밥 먹다 싶다,동생 밥 먹었어
아빠 과일 먹다 싶다,아빠 과일 먹고 싶어
우리 학교 가다 싶다,우리 학교 갔어
동생 옷 입다 싶다,동생 옷 입었어
엄마 밥 먹다 싶다,엄마 밥 먹자
동생 학교 가다 싶다,동생 학교 가자
동생 영화 보다 싶다,동생 영화 보자
나 영화 보다 싶다,나 영화 보고 싶어
나 운동 하다 싶다,나 운동 했어
선생님 옷 사다 싶다,선생님 옷 사자
동생 학교 가다 싶다,동생 학교 갈 거야
친구 영화 보다 싶다,친구 영화 볼 거야
선생님 책 읽다 싶다,선생님 책 읽고 싶어
너 옷 입다 싶다,너 옷 입었어
선생님 책 읽다 싶다,선생님 책 읽었어
아빠 운동 하다 싶다,아빠 운동 했어
엄마 영화 보다 싶다,엄마 영화 보자
동생 운동 하다 싶다,동생 운동 하고 싶어
동생 영화 보다 싶다,동생 영화 봤어
선생님 과일 사다 싶다,선생님 과일 사자
친구 영화 보다 싶다,친구 영화 봤어
아빠 옷 입다 싶다,아빠 옷 입을 거야
나 옷 입다 싶다,나 옷 입었어
우리 밥 먹다 싶다,우리 밥 먹고 싶어
동생 옷 입다 싶다,동생 옷 입을 거야
엄마 학교 가다 싶다,엄마 학교 가고 싶어
친구 과일 먹다 싶다,친구 과일 먹고 싶어
엄마 옷 입다 싶다,엄마 옷 입고 싶어
엄마 영화 보다 싶다,엄마 영화 보고 싶어
동생 옷 사다 싶다,동생 옷 사고 싶어
친구 밥 먹다 싶다,친구 밥 먹자
엄마 과일 사다 싶다,엄마 과일 사자
선생님 과일 사다 싶다,선생님 과일 사고 싶어
너 게임 하다 싶다,너 게임 하고 싶어
엄마 옷 사다 싶다,엄마 옷 살 거야
엄마 운동 하다 싶다,엄마 운동 하고 싶어
나 밥 먹다 싶다,나 밥 먹을 거야
동생 과일 먹다 싶다,동생 과일 먹을 거야
친구 책 읽다 싶다,친구 책 읽었어
너 영화 보다 싶다,너 영화 볼 거야
친구 밥 먹다 싶다,친구 밥 먹을 거야
아빠 영화 보다 싶다,아빠 영화 보고 싶어
나 운동 하다 싶다,나 운동 했어
아빠 밥 먹다 싶다,아빠 밥 먹고 싶어
엄마 운동 하다 싶다,엄마 운동 했어
나 운동 하다 싶다,나 운동 할 거야
아빠 책 읽다 싶다,아빠 책 읽었어
동생 책 읽다 싶다,동생 책 읽었어
친구 밥 먹다 싶다,친구 밥 먹었어
선생님 학교 가다 싶다,선생님 학교 가자
동생 영화 보다 싶다,동생 영화 볼 거야
나 책 읽다 싶다,나 책 읽자
너 운동 하다 싶다,너 운동 하고 싶어
너 책 읽다 싶다,너 책 읽었어
너 과일 먹다 싶다,너 과일 먹을 거야
나 밥 먹다 싶다,나 밥 먹었어
엄마 게임 하다 싶다,엄마 게임 하자
아빠 책 읽다 싶다,아빠 책 읽을 거야
아빠 게임 하다 싶다,아빠 게임 하고 싶어
너 과일 먹다 싶다,너 과일 먹고 싶어
선생님 영화 보다 싶다,선생님 영화 볼 거야
친구 책 읽다 싶다,친구 책 읽자
너 밥 먹다 싶다,너 밥 먹자
우리 운동 하다 싶다,우리 운동 하자
우리 밥 먹다 싶다,우리 밥 먹자
엄마 옷 사다 싶다,엄마 옷 샀어
나 게임 하다 싶다,나 게임 할 거야
아빠 영화 보다 싶다,아빠 영화 볼 거야
아빠 밥 먹다 싶다,아빠 밥 먹을 거야
친구 과일 사다 싶다,친구 과일 사고 싶어
동생 운동 하다 싶다,동생 운동 하고 싶어
선생님 영화 보다 싶다,선생님 영화 볼 거야
우리 운동 하다 싶다,우리 운동 하고 싶어
동생 학교 가다 싶다,동생 학교 가자
아빠 운동 하다 싶다,아빠 운동 할 거야
너 과일 먹다 싶다,너 과일 먹자
엄마 학교 가다 싶다,엄마 학교 가자
너 운동 하다 싶다,너 운동 할 거야
엄마 영화 보다 싶다,엄마 영화 봤어
너 책 읽다 싶다,너 책 읽을 거야
아빠 옷 입다 싶다,아빠 옷 입고 싶어
우리 학교 가다 싶다,우리 학교 가고 싶어
친구 학교 가다 싶다,친구 학교 갔어
친구 게임 하다 싶다,친구 게임 하고 싶어
나 영화 보다 싶다,나 영화 볼 거야
동생 게임 하다 싶다,동생 게임 할 거야
엄마 과일 먹다 싶다,엄마 과일 먹을 거야
엄마 게임 하다 싶다,엄마 게임 할 거야
아빠 옷 사다 싶다,아빠 옷 샀어
엄마 게임 하다 싶다,엄마 게임 하자
친구 밥 먹다 싶다,친구 밥 먹고 싶어
동생 운동 하다 싶다,동생 운동 하고 싶어
나 운동 하다 싶다,나 운동 할 거야
아빠 학교 가다 싶다,아빠 학교 갔어
선생님 영화 보다 싶다,선생님 영화 볼 거야
동생 책 읽다 싶다,동생 책 읽자
나 밥 먹다 싶다,나 밥 먹고 싶어
선생님 영화 보다 싶다,선생님 영화 보고 싶어
너 책 읽다 싶다,너 책 읽었어
너 학교 가다 싶다,너 학교 갈 거야
친구 영화 보다 싶다,친구 영화 보자
친구 과일 사다 싶다,친구 과일 사고 싶어
친구 영화 보다 싶다,친구 영화 보고 싶어
친구 밥 먹다 싶다,친구 밥 먹고 싶어
친구 학교 가다 싶다,친구 학교 가자
동생 밥 먹다 싶다,동생 밥 먹었어
친구 옷 사다 싶다,친구 옷 살 거야
우리 운동 하다 싶다,우리 운동 했어
아빠 밥 먹다 싶다,아빠 밥 먹었어
우리 책 읽다 싶다,우리 책 읽었어
선생님 옷 입다 싶다,선생님 옷 입었어
우리 운동 하다 싶다,우리 운동 하고 싶어
동생 영화 보다 싶다,동생 영화 볼 거야
엄마 운동 하다 싶다,엄마 운동 하고 싶어
너 옷 사다 싶다,너 옷 살 거야
우리 게임 하다 싶다,우리 게임 하자
엄마 영화 보다 싶다,엄마 영화 보자
동생 과일 사다 싶다,동생 과일 사자
나 게임 하다 싶다,나 게임 하고 싶어
친구 밥 먹다 싶다,친구 밥 먹었어
아빠 밥 먹다 싶다,아빠 밥 먹었어
친구 과일 먹다 싶다,친구 과일 먹었어
아빠 운동 하다 싶다,아빠 운동 할 거야
친구 영화 보다 싶다,친구 영화 볼 거야
친구 운동 하다 싶다,친구 운동 했어
아빠 과일 사다 싶다,아빠 과일 사고 싶어
엄마 게임 하다 싶다,엄마 게임 할 거야
엄마 영화 보다 싶다,엄마 영화 보고 싶어
아빠 운동 하다 싶다,아빠 운동 했어
너 게임 하다 싶다,너 게임 하자
동생 옷 사다 싶다,동생 옷 살 거야
우리 밥 먹다 싶다,우리 밥 먹고 싶어
선생님 운동 하다 싶다,선생님 운동 할 거야
나 책 읽다 싶다,나 책 읽을 거야
너 책 읽다 싶다,너 책 읽을 거야
동생 게임 하다 싶다,동생 게임 할 거야
엄마 게임 하다 싶다,엄마 게임 하자
엄마 책 읽다 싶다,엄마 책 읽을 거야
아빠 과일 먹다 싶다,아빠 과일 먹자
엄마 게임 하다 싶다,엄마 게임 했어
선생님 게임 하다 싶다,선생님 게임 했어
엄마 밥 먹다 싶다,엄마 밥 먹고 싶어
선생님 옷 입다 싶다,선생님 옷 입을 거야
너 책 읽다 싶다,너 책 읽자
나 운동 하다 싶다,나 운동 하자
너 과일 먹다 싶다,너 과일 먹었어
우리 게임 하다 싶다,우리 게임 할 거야
우리 책 읽다 싶다,우리 책 읽었어
선생님 학교 가다 싶다,선생님 학교 가자
너 운동 하다 싶다,너 운동 했어
엄마 밥 먹다 싶다,엄마 밥 먹자
나 운동 하다 싶다,나 운동 하자
엄마 과일 먹다 싶다,엄마 과일 먹을 거야
동생 밥 먹다 싶다,동생 밥 먹고 싶어
나 책 읽다 싶다,나 책 읽고 싶어
